# x_position, ghia_v, simulation_v, abs_error
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.687999999999999945e-01 -5.906000000000000139e-02 -4.981512475140762675e+00 4.922452475140763006e+00
9.608999999999999764e-01 -7.391000000000000347e-02 -4.918622433127412208e+00 4.844712433127412510e+00
9.530999999999999472e-01 -8.863999999999999657e-02 -5.008721319402118510e+00 4.920081319402118680e+00
9.453000000000000291e-01 -1.031299999999999994e-01 -5.345117150152009167e+00 5.241987150152009001e+00
9.062999999999999945e-01 -1.691400000000000126e-01 -5.070886390754020034e+00 4.901746390754020410e+00
8.594000000000000528e-01 -2.244500000000000106e-01 -2.393733334422341485e+00 2.169283334422341447e+00
8.046999999999999709e-01 -2.453299999999999925e-01 -5.310906236340422026e+00 5.065576236340421978e+00
5.000000000000000000e-01 5.453999999999999820e-02 2.777347290600038932e+00 2.722807290600039121e+00
2.343999999999999972e-01 1.752700000000000091e-01 2.883662499290273296e+00 2.708392499290273481e+00
2.265999999999999959e-01 1.750700000000000034e-01 4.223553561075301666e+00 4.048483561075301829e+00
1.562999999999999945e-01 1.607699999999999962e-01 2.328321521610099420e+00 2.167551521610099563e+00
9.379999999999999449e-02 1.231700000000000017e-01 -4.298120143949230587e-01 5.529820143949231159e-01
7.810000000000000275e-02 1.088999999999999968e-01 -9.916941340824987350e-01 1.100594134082498732e+00
7.030000000000000138e-02 1.009099999999999997e-01 -4.450304706639723884e-01 5.459404706639723326e-01
6.250000000000000000e-02 9.232999999999999541e-02 8.468204013755938064e-02 7.647959862440614764e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
