================================================================================
NAVIFLOW PROFILING REPORT
================================================================================

Algorithm: SimpleSolver
Timestamp: 2025-03-17 14:31:26
Mesh Size: 127x127
Reynolds Number: 100

ALGORITHM AND SOLVER PARAMETERS
--------------------------------------------------------------------------------
Pressure Relaxation Factor (alpha_p): 0.100
Velocity Relaxation Factor (alpha_u): 0.700
Pressure Solver: MultiGridSolver
Pressure Solver Tolerance: 1.000000e-03
Pressure Solver Max Iterations: 100
Smoother Type: <naviflow_oo.solver.pressure_solver.jacobi.JacobiSolver object at 0x1455d59d0>
Multigrid Cycle Type: f
Momentum Solver: StandardMomentumSolver

SYSTEM INFORMATION
--------------------------------------------------------------------------------
Platform: macOS-14.1-arm64-arm-64bit
Processor: Apple M3 Pro
Python Version: 3.11.11
CONVERGENCE INFORMATION
--------------------------------------------------------------------------------
Convergence Tolerance: 1.000000e-03
Final Residual: 2.309846e-03
Status: Did not converge (reached maximum iterations)

PERFORMANCE SUMMARY
--------------------------------------------------------------------------------
Total Wall Time: 48.1573 seconds
Total CPU Time: 49.9830 seconds
Total Iterations: 100
Average Wall Time per Iteration: 0.4816 seconds
PRESSURE SOLVER INFORMATION
--------------------------------------------------------------------------------
Solver: MultiGridSolver

Solver-Specific Information:
  cycle_type: f
  pre_smoothing: 5
  post_smoothing: 5
  smoother_iterations: 5
  smoother_omega: 0.800000
  smoother_type: JacobiSolver
  tolerance: 0.001000
  max_iterations: 100

DETAILED RESIDUAL HISTORY
--------------------------------------------------------------------------------
 Iter    Wall Time     CPU Time    Total Res Momentum Res Pressure Res Inf Norm Err
    1       0.4885       0.5121 1.928824e-01 1.750000e-01 1.692505e+00          N/A 
    2       0.9776       1.0233 1.101284e-01 1.713950e-01 9.949453e-01          N/A 
    3       1.4693       1.5371 7.808625e-02 1.696966e-01 7.518465e-01          N/A 
    4       1.9580       2.0492 5.848696e-02 1.645068e-01 6.356662e-01          N/A 
    5       2.4460       2.5596 4.523690e-02 1.577031e-01 5.647395e-01          N/A 
    6       2.9354       3.0714 3.605937e-02 1.504216e-01 5.150565e-01          N/A 
    7       3.4308       3.5914 3.012829e-02 1.431980e-01 4.771715e-01          N/A 
    8       3.9291       4.1127 2.748481e-02 1.362447e-01 4.470140e-01          N/A 
    9       4.4223       4.6283 2.508015e-02 1.296335e-01 4.224049e-01          N/A 
   10       4.9118       5.1416 2.294135e-02 1.233780e-01 4.020525e-01 7.477712e-01 
   11       5.4037       5.6560 2.105552e-02 1.174690e-01 3.850914e-01          N/A 
   12       5.8987       6.1737 1.939647e-02 1.118897e-01 3.709008e-01          N/A 
   13       6.3923       6.6901 1.793591e-02 1.066211e-01 3.590080e-01          N/A 
   14       6.8849       7.2055 1.664711e-02 1.016445e-01 3.490399e-01          N/A 
   15       7.3795       7.7222 1.550667e-02 9.694176e-02 3.406936e-01          N/A 
   16       7.8753       8.2416 1.449364e-02 9.249627e-02 3.337184e-01          N/A 
   17       8.3716       8.7600 1.358863e-02 8.829233e-02 3.279045e-01          N/A 
   18       8.8656       9.2765 1.277366e-02 8.431533e-02 3.230739e-01          N/A 
