================================================================================
NAVIFLOW PROFILING REPORT
================================================================================

Algorithm: SimpleSolver
Timestamp: 2025-03-17 14:29:57
Mesh Size: 127x127
Reynolds Number: 100

ALGORITHM AND SOLVER PARAMETERS
--------------------------------------------------------------------------------
Pressure Relaxation Factor (alpha_p): 0.300
Velocity Relaxation Factor (alpha_u): 0.700
Pressure Solver: MatrixFreeCGSolver
Pressure Solver Tolerance: 1.000000e-05
Pressure Solver Max Iterations: 1000
Momentum Solver: StandardMomentumSolver

SYSTEM INFORMATION
--------------------------------------------------------------------------------
Platform: macOS-14.1-arm64-arm-64bit
Processor: Apple M3 Pro
Python Version: 3.11.11
CONVERGENCE INFORMATION
--------------------------------------------------------------------------------
Convergence Tolerance: 1.000000e-07
Final Residual: 2.282328e-03
Status: Did not converge (reached maximum iterations)

PERFORMANCE SUMMARY
--------------------------------------------------------------------------------
Total Wall Time: 4.8762 seconds
Total CPU Time: 6.5813 seconds
Total Iterations: 100
Average Wall Time per Iteration: 0.0488 seconds
DETAILED RESIDUAL HISTORY
--------------------------------------------------------------------------------
 Iter    Wall Time     CPU Time    Total Res Momentum Res Pressure Res Inf Norm Err
    1       0.2981       0.4068 1.942394e-01 1.750000e-01 7.081727e+00          N/A 
    2       0.4281       0.5861 1.263926e-01 1.252225e-01 1.656196e+00          N/A 
    3       0.5665       0.7765 8.265726e-02 1.036454e-01 8.191583e-01          N/A 
    4       0.7086       0.9708 6.046208e-02 8.846385e-02 6.446444e-01          N/A 
    5       0.8474       1.1625 4.724519e-02 7.622803e-02 6.181574e-01          N/A 
    6       0.9845       1.3522 3.770834e-02 6.594160e-02 6.517217e-01          N/A 
    7       1.1234       1.5440 3.166721e-02 5.724838e-02 6.971064e-01          N/A 
    8       1.2566       1.7280 2.872382e-02 4.990199e-02 7.397639e-01          N/A 
    9       1.3821       1.9033 2.609332e-02 4.369177e-02 7.755015e-01          N/A 
   10       1.5094       2.0758 2.375270e-02 3.842998e-02 8.033380e-01 7.510361e-01 
   11       1.6073       2.2103 2.167846e-02 3.395383e-02 8.236386e-01          N/A 
   12       1.6987       2.3356 1.991065e-02 3.012758e-02 8.360788e-01          N/A 
   13       1.7835       2.4501 1.831371e-02 2.683891e-02 8.473245e-01          N/A 
   14       1.8617       2.5593 1.692532e-02 2.399626e-02 8.552998e-01          N/A 
   15       1.9308       2.6544 1.568154e-02 2.152588e-02 8.582381e-01          N/A 
   16       1.9982       2.7482 1.456502e-02 1.936839e-02 8.613476e-01          N/A 
   17       2.0555       2.8270 1.358622e-02 1.747465e-02 8.635989e-01          N/A 
   18       2.1115       2.9040 1.272421e-02 1.580687e-02 8.608481e-01          N/A 
   19       2.1367       2.9372 1.195478e-02 1.433112e-02 8.764394e-01          N/A 
   20       2.2023       3.0245 1.170246e-02 1.302098e-02 8.462997e-01 6.882490e-01 
   21       2.2640       3.1114 1.108771e-02 1.185533e-02 8.592483e-01          N/A 
   22       2.2887       3.1460 1.057215e-02 1.081355e-02 8.694740e-01          N/A 
   23       2.3429       3.2207 1.027054e-02 1.011088e-02 8.501913e-01          N/A 
   24       2.3931       3.2910 9.838830e-03 9.738768e-03 8.601248e-01          N/A 
   25       2.4193       3.3269 9.391577e-03 9.370437e-03 8.634680e-01          N/A 
   26       2.4683       3.3941 9.137456e-03 8.988438e-03 8.482540e-01          N/A 
   27       2.4951       3.4321 8.693255e-03 8.679336e-03 8.614306e-01          N/A 
   28       2.5486       3.5065 8.535676e-03 8.337176e-03 8.453161e-01          N/A 
   29       2.5726       3.5400 8.095338e-03 8.080532e-03 8.576472e-01          N/A 
   30       2.6180       3.6035 7.881964e-03 7.778520e-03 8.518599e-01 6.410852e-01 
   31       2.6406       3.6319 7.521349e-03 7.520972e-03 8.554994e-01          N/A 
   32       2.6936       3.7052 7.426266e-03 7.240648e-03 8.452620e-01          N/A 
   33       2.7182       3.7406 7.043378e-03 7.040328e-03 8.537306e-01          N/A 
   34       2.7440       3.7778 6.815958e-03 6.793643e-03 8.538147e-01          N/A 
   35       2.7711       3.8171 6.606666e-03 6.562497e-03 8.532421e-01          N/A 
   36       2.8268       3.8944 6.511083e-03 6.344653e-03 8.412246e-01          N/A 
   37       2.8516       3.9284 6.219762e-03 6.185728e-03 8.514560e-01          N/A 
   38       2.8778       3.9647 6.023169e-03 6.028813e-03 8.517796e-01          N/A 
   39       2.9053       4.0028 5.900363e-03 5.879909e-03 8.517724e-01          N/A 
   40       2.9619       4.0815 5.933453e-03 5.737743e-03 8.448924e-01 5.930153e-01 
   41       2.9875       4.1180 5.647954e-03 5.648041e-03 8.491655e-01          N/A 
   42       3.0133       4.1551 5.506516e-03 5.502447e-03 8.493466e-01          N/A 
   43       3.0411       4.1935 5.385625e-03 5.372140e-03 8.491813e-01          N/A 
   44       3.0691       4.2330 5.303258e-03 5.248692e-03 8.491229e-01          N/A 
   45       3.1309       4.3086 5.312915e-03 5.132953e-03 8.403712e-01          N/A 
   46       3.1576       4.3427 5.070700e-03 5.058990e-03 8.475949e-01          N/A 
   47       3.1844       4.3803 4.966200e-03 4.943146e-03 8.484697e-01          N/A 
   48       3.2157       4.4192 4.861689e-03 4.831264e-03 8.486580e-01          N/A 
   49       3.2482       4.4596 4.763613e-03 4.725968e-03 8.486356e-01          N/A 
   50       3.3073       4.5361 4.745837e-03 4.625857e-03 8.458748e-01 5.494742e-01 
   51       3.3333       4.5725 4.587593e-03 4.546678e-03 8.463414e-01          N/A 
   52       3.3618       4.6090 4.478543e-03 4.447461e-03 8.468945e-01          N/A 
   53       3.3936       4.6471 4.390301e-03 4.354472e-03 8.470645e-01          N/A 
   54       3.4254       4.6878 4.321523e-03 4.268005e-03 8.472334e-01          N/A 
   55       3.4580       4.7296 4.224434e-03 4.186058e-03 8.470417e-01          N/A 
   56       3.4884       4.7725 4.165522e-03 4.106159e-03 8.470555e-01          N/A 
   57       3.5494       4.8517 4.227311e-03 4.036665e-03 8.403093e-01          N/A 
   58       3.5768       4.8870 4.035106e-03 3.986091e-03 8.455072e-01          N/A 
   59       3.6016       4.9195 3.914886e-03 3.899247e-03 8.462108e-01          N/A 
   60       3.6281       4.9561 3.864116e-03 3.822055e-03 8.467471e-01 5.109721e-01 
   61       3.6572       4.9955 3.804176e-03 3.751233e-03 8.472120e-01          N/A 
   62       3.6883       5.0343 3.699719e-03 3.684337e-03 8.470634e-01          N/A 
   63       3.7171       5.0742 3.663601e-03 3.618251e-03 8.473622e-01          N/A 
   64       3.7471       5.1126 3.571818e-03 3.562853e-03 8.467797e-01          N/A 
   65       3.7762       5.1535 3.522080e-03 3.510518e-03 8.469225e-01          N/A 
   66       3.8047       5.1930 3.469302e-03 3.459335e-03 8.466210e-01          N/A 
   67       3.8400       5.2339 3.425754e-03 3.409455e-03 8.465823e-01          N/A 
