# x_position, ghia_v, simulation_v, abs_error
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.687999999999999945e-01 -5.906000000000000139e-02 -6.114979965638844828e-02 2.089799656388446891e-03
9.608999999999999764e-01 -7.391000000000000347e-02 -7.657306405184662046e-02 2.663064051846616986e-03
9.530999999999999472e-01 -8.863999999999999657e-02 -9.159688104541867382e-02 2.956881045418677245e-03
9.453000000000000291e-01 -1.031299999999999994e-01 -1.063267523323243036e-01 3.196752332324304113e-03
9.062999999999999945e-01 -1.691400000000000126e-01 -1.725288595045194051e-01 3.388859504519392551e-03
8.594000000000000528e-01 -2.244500000000000106e-01 -2.263119959582957641e-01 1.861995958295753484e-03
8.046999999999999709e-01 -2.453299999999999925e-01 -2.439681397660491136e-01 1.361860233950878962e-03
5.000000000000000000e-01 5.453999999999999820e-02 5.680986278234501086e-02 2.269862782345012653e-03
2.343999999999999972e-01 1.752700000000000091e-01 1.717507577393658225e-01 3.519242260634186659e-03
2.265999999999999959e-01 1.750700000000000034e-01 1.714922883499406803e-01 3.577711650059323123e-03
1.562999999999999945e-01 1.607699999999999962e-01 1.570174219119111481e-01 3.752578088088848185e-03
9.379999999999999449e-02 1.231700000000000017e-01 1.199881523039525999e-01 3.181847696047401808e-03
7.810000000000000275e-02 1.088999999999999968e-01 1.059567518665863878e-01 2.943248133413609025e-03
7.030000000000000138e-02 1.009099999999999997e-01 9.816627754793927352e-02 2.743722452060726180e-03
6.250000000000000000e-02 9.232999999999999541e-02 8.980461694694716335e-02 2.525383053052832061e-03
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
