# x_position, ghia_v, simulation_v, inf_norm
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.230428452744689816e-01
9.687999999999999945e-01 -3.901700000000000168e-01 -1.391563467002640379e-02 5.230428452744689816e-01
9.608999999999999764e-01 -4.742500000000000049e-01 -1.557645779691211978e-02 5.230428452744689816e-01
9.530999999999999472e-01 -5.235699999999999799e-01 -1.672512157150841602e-02 5.230428452744689816e-01
9.453000000000000291e-01 -5.405299999999999550e-01 -1.748715472553093175e-02 5.230428452744689816e-01
9.062999999999999945e-01 -4.430700000000000194e-01 -1.807434700188190191e-02 5.230428452744689816e-01
8.594000000000000528e-01 -3.740100000000000091e-01 -1.635164889345483430e-02 5.230428452744689816e-01
8.046999999999999709e-01 -3.118400000000000061e-01 -1.350150604041307038e-02 5.230428452744689816e-01
5.000000000000000000e-01 9.990000000000000616e-03 2.288854164910423747e-03 5.230428452744689816e-01
2.343999999999999972e-01 2.818800000000000194e-01 1.059533492778534473e-02 5.230428452744689816e-01
2.265999999999999959e-01 2.903000000000000025e-01 1.076039081641708139e-02 5.230428452744689816e-01
1.562999999999999945e-01 3.711900000000000199e-01 1.200585147901458809e-02 5.230428452744689816e-01
9.379999999999999449e-02 4.276800000000000046e-01 1.267038325429113363e-02 5.230428452744689816e-01
7.810000000000000275e-02 4.190599999999999881e-01 1.266479683079047187e-02 5.230428452744689816e-01
7.030000000000000138e-02 4.091699999999999782e-01 1.257539238378481070e-02 5.230428452744689816e-01
6.250000000000000000e-02 3.956000000000000072e-01 1.238533208303173316e-02 5.230428452744689816e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.230428452744689816e-01
