================================================================================
NAVIFLOW PROFILING REPORT
================================================================================

Algorithm: SimpleSolver
Timestamp: 2025-03-17 03:54:10
Mesh Size: 127x127
Reynolds Number: 100

SYSTEM INFORMATION
--------------------------------------------------------------------------------
Platform: macOS-14.1-arm64-arm-64bit
Processor: Apple M3 Pro
Python Version: 3.11.11
Total System Memory: 18.00 GB

CONVERGENCE INFORMATION
--------------------------------------------------------------------------------
Convergence Tolerance: 1.000000e-08
Final Residual: 9.996792e-09
Status: Converged after 16860 iterations

PERFORMANCE SUMMARY
--------------------------------------------------------------------------------
Total Wall Time: 3715.7393 seconds
Total CPU Time: 5122.6762 seconds
Total Iterations: 16860
Average Wall Time per Iteration: 0.2204 seconds
Peak Memory Usage: 210.11 MB

TIME BREAKDOWN (WALL TIME)
--------------------------------------------------------------------------------
Momentum Equations: 50.5794 seconds (1.36%)
Pressure Equation: 3653.6198 seconds (98.33%)
Velocity Update: 8.8062 seconds (0.24%)
Boundary Conditions: 0.0000 seconds (0.00%)
Other Operations: 2.5654 seconds (0.07%)

TIME BREAKDOWN (CPU TIME)
--------------------------------------------------------------------------------
Momentum Equations: 50.5679 seconds (0.99%)
Pressure Equation: 5060.5870 seconds (98.79%)
Velocity Update: 8.8045 seconds (0.17%)
Boundary Conditions: 0.0000 seconds (0.00%)
Other Operations: 2.5621 seconds (0.05%)

DETAILED RESIDUAL HISTORY
--------------------------------------------------------------------------------
 Iter    Wall Time     CPU Time    Total Res Momentum Res Pressure Res Inf Norm Err     RSS (MB)     VMS (MB)
    1       0.6549       0.8971 1.942397e-01 1.750000e-01 7.083750e+00          N/A       206.05    400850.83
    2       1.2645       1.7251 1.263949e-01 1.252250e-01 1.707683e+00          N/A       209.78    400850.83
    3       1.8721       2.5323 8.266025e-02 1.036449e-01 8.566009e-01          N/A       209.78    400850.83
    4       2.4824       3.3423 6.047379e-02 8.846359e-02 6.711511e-01          N/A       209.88    400850.83
    5       3.0914       4.1913 4.724367e-02 7.622801e-02 6.360278e-01          N/A       209.88    400850.83
    6       3.6936       5.0278 3.770323e-02 6.594114e-02 6.628891e-01          N/A       210.11    400850.83
    7       4.2915       5.8641 3.166205e-02 5.724785e-02 7.034540e-01          N/A       210.11    400850.83
    8       4.8770       6.6811 2.872892e-02 4.990156e-02 7.432236e-01          N/A       210.05    400848.09
    9       5.4563       7.4892 2.608507e-02 4.369151e-02 7.771244e-01          N/A       210.05    400847.55
   10       6.0315       8.2939 2.374539e-02 3.842981e-02 8.039506e-01          N/A       210.05    400847.55
   11       6.6033       9.0949 2.168929e-02 3.395401e-02 8.241708e-01          N/A       210.05    400847.55
   12       7.1725       9.8885 1.988470e-02 3.012787e-02 8.388094e-01          N/A       210.05    400847.55
   13       7.8856      10.6767 1.829828e-02 2.683902e-02 8.490036e-01          N/A       210.05    400847.55
   14       8.4479      11.4422 1.689968e-02 2.399639e-02 8.558013e-01          N/A       210.05    400847.55
   15       9.1367      12.2187 1.566180e-02 2.152603e-02 8.600827e-01          N/A       210.05    400847.55
   16       9.6879      12.9890 1.456180e-02 1.936828e-02 8.625211e-01          N/A       210.05    400847.55
   17      10.2317      13.7478 1.358072e-02 1.747492e-02 8.636948e-01          N/A       210.05    400847.55
   18      10.7744      14.5029 1.270187e-02 1.580657e-02 8.639797e-01          N/A       210.05    400847.55
   19      11.3153      15.2581 1.206035e-02 1.433079e-02 8.636723e-01          N/A       210.05    400847.55
   20      11.8563      16.0153 1.155773e-02 1.302110e-02 8.629978e-01          N/A       210.05    400847.55
   21      12.3953      16.7698 1.108141e-02 1.185465e-02 8.620964e-01          N/A       210.05    400847.55
   22      12.9332      17.5183 1.063070e-02 1.081324e-02 8.610870e-01          N/A       210.05    400847.55
   23      13.2282      17.9316 1.020464e-02 1.013017e-02 8.589668e-01          N/A       210.06    400847.55
   24      13.7655      18.6823 9.802648e-03 9.733817e-03 8.598156e-01          N/A       210.06    400847.55
   25      14.0368      19.0602 9.423378e-03 9.359276e-03 8.570463e-01          N/A       210.06    400847.55
   26      14.5725      19.8079 9.064525e-03 9.005434e-03 8.577488e-01          N/A       210.06    400847.55
   27      14.8401      20.1799 8.726913e-03 8.670906e-03 8.552755e-01          N/A       210.06    400847.55
