

Airfoil surface,
X(mm),Y(mm)
6.613756,69.70899
6.613756,69.44444
6.7460318,69.31217
6.7460318,69.17989
6.8783064,69.04762
6.8783064,68.915344
7.1428576,68.650795
7.1428576,68.51852
7.4074078,68.25397
7.4074078,68.1217
7.671958,67.85715
7.671958,67.72487
7.936508,67.46032
7.936508,67.32804
8.201058,67.06349
8.201058,66.93122
8.597883,66.53439
8.597883,66.402115
8.862433,66.137566
8.994709,66.137566
9.523809,65.60847
9.656085,65.60847
10.185185,65.07937
10.185185,64.68254
9.920635,64.41799
9.78836,64.41799
9.391535,64.021164
9.259259,64.021164
8.465609,63.227512
8.465609,63.095238
8.068783,62.698414
8.068783,62.56614
7.936508,62.433865
7.936508,62.30159
7.671958,62.037037
7.671958,61.904762
7.5396824,61.772488
7.5396824,61.640213
7.4074078,61.50794
7.4074078,61.375664
7.275132,61.243385
7.275132,60.978836
7.1428576,60.84656
7.1428576,60.582012
7.010582,60.449738
7.010582,60.185184
6.8783064,60.05291
6.8783064,59.920635
6.7460318,59.78836
6.7460318,59.656086
6.613756,59.52381
6.613756,59.391537
6.4814816,59.259262
6.4814816,58.99471
6.3492064,58.862434
6.3492064,58.73016
6.2169313,58.597885
6.2169313,58.46561
6.0846562,58.333336
6.0846562,58.201057
5.952381,58.068783
5.952381,57.804234
5.8201056,57.67196
5.8201056,57.40741
5.6878304,57.275135
5.6878304,57.142857
5.5555553,57.010582
5.5555553,56.878307
5.291005,56.613758
5.291005,56.481483
5.15873,56.34921
5.15873,56.21693
4.7619047,55.820107
4.7619047,55.68783
4.4973545,55.423283
4.4973545,55.291008
4.2328043,55.026455
4.2328043,54.89418
3.7037034,54.36508
3.7037034,54.232803
3.306878,53.83598
3.306878,53.703705
2.9100528,53.30688
2.9100528,53.174603
2.5132275,52.77778
2.5132275,52.645504
2.1164021,52.248676
2.1164021,52.1164
1.9841269,51.984127
1.9841269,51.851852
1.7195767,51.587303
1.7195767,51.45503
1.3227514,51.0582
1.3227514,50.925926
1.058201,50.661377
0.92592585,50.661377
0.66137564,50.396828
0.52910054,50.396828
0.1322751,50.0
0.1322751,49.867725
0.0,49.73545
0.0,48.67725
0.1322751,48.544975
0.1322751,48.280422
0.39682543,48.015873
0.39682543,47.8836
0.52910054,47.751324
0.52910054,47.61905
1.3227514,46.825397
1.4550265,46.825397
1.7195767,46.56085
1.8518518,46.56085
1.9841269,46.428574
2.1164021,46.428574
2.2486773,46.296295
2.9100528,46.296295
3.042328,46.428574
3.4391532,46.428574
3.5714283,46.296295
5.4232802,46.296295
5.5555553,46.428574
5.6878304,46.428574
6.3492064,47.089947
6.4814816,47.089947
6.613756,47.22222
7.010582,47.22222
7.1428576,47.3545
7.671958,47.3545
7.8042326,47.22222
8.597883,47.22222
8.730159,47.3545
10.58201,47.3545
10.714286,47.486774
12.037037,47.486774
12.1693125,47.61905
12.8306875,47.61905
12.962963,47.751324
13.4920635,47.751324
13.624339,47.8836
14.1534395,47.8836
14.285714,48.015873
14.8148155,48.015873
14.94709,48.148148
16.666666,48.148148
17.195766,47.61905
17.328043,47.61905
17.989418,46.957672
18.121693,46.957672
21.957672,43.121693
21.957672,42.989418
22.089947,42.857143
22.089947,42.72487
22.354498,42.46032
22.354498,42.32804
22.619047,42.06349
22.619047,41.931217
22.751324,41.798943
22.751324,41.666668
22.883598,41.534393
22.883598,41.40212
23.015873,41.26984
23.015873,41.137566
23.148148,41.00529
23.148148,40.873016
23.280424,40.74074
23.280424,40.608467
23.412699,40.476192
23.412699,40.343918
23.544973,40.21164
23.544973,40.079365
23.677248,39.94709
23.677248,39.68254
23.809525,39.550266
23.809525,39.41799
23.9418,39.285713
23.9418,39.021164
24.074074,38.88889
24.074074,38.62434
24.20635,38.492065
24.20635,38.227512
24.338625,38.095238
24.338625,37.83069
24.4709,37.698414
24.4709,37.301586
24.603174,37.16931
24.603174,36.640213
24.73545,36.50794
24.73545,36.11111
24.867725,35.978836
24.867725,35.714287
25.0,35.582012
25.0,35.31746
25.132275,35.185184
25.132275,34.920635
25.264551,34.78836
25.264551,34.52381
25.396826,34.391537
25.396826,34.25926
25.5291,34.126984
25.5291,33.99471
25.661375,33.862434
25.661375,33.597885
25.793652,33.46561
25.793652,33.333332
25.925926,33.201057
25.925926,33.068783
26.0582,32.93651
26.0582,32.804234
26.322752,32.539684
26.322752,32.40741
26.455027,32.27513
26.455027,32.142857
26.719578,31.878307
26.719578,31.746033
26.984127,31.481482
26.984127,31.349207
27.380953,30.952381
27.380953,30.820107
27.777779,30.42328
27.777779,30.291006
30.026455,28.042328
30.15873,28.042328
30.555555,27.645504
30.68783,27.645504
30.820105,27.513227
30.952383,27.513227
31.084658,27.380953
31.481482,27.380953
31.613756,27.248678
31.878305,27.248678
32.010586,27.116402
32.40741,27.116402
32.539684,26.984127
32.936512,26.984127
33.068787,26.851852
33.333336,26.851852
33.597885,26.587301
33.597885,26.455027
33.73016,26.322752
33.73016,25.793652
33.862434,25.661377
33.862434,21.296297
33.994713,21.16402
33.994713,20.502645
34.126987,20.37037
34.126987,19.973545
34.259262,19.84127
34.259262,19.57672
34.391537,19.444445
34.391537,19.31217
34.52381,19.179895
34.52381,19.047619
34.656086,18.915344
34.656086,18.78307
34.78836,18.650793
34.78836,18.25397
34.92064,18.121693
34.92064,16.666666
34.78836,16.534391
34.78836,16.005291
34.656086,15.873016
34.656086,15.608466
34.52381,15.476191
34.52381,15.21164
34.391537,15.079366
34.391537,14.68254
34.259262,14.550264
34.259262,14.285714
34.126987,14.1534395
34.126987,13.888889
33.994713,13.756614
33.994713,13.624339
33.862434,13.4920635
33.862434,13.095239
33.73016,12.962963
33.73016,12.698413
33.597885,12.566137
33.597885,12.433863
33.46561,12.301587
33.46561,12.1693125
33.333336,12.037037
33.333336,11.904762
33.20106,11.772487
33.20106,11.640212
32.936512,11.375662
32.936512,11.243386
32.275135,10.58201
32.275135,10.449736
30.291006,8.465609
30.291006,8.333333
30.15873,8.201058
30.15873,7.804233
30.42328,7.539683
32.539684,7.539683
32.67196,7.671958
34.391537,7.671958
34.52381,7.804233
34.92064,7.804233
35.052914,7.936508
35.18519,7.936508
35.449738,8.201058
35.582012,8.201058
35.97884,8.597884
35.97884,9.523809
35.84656,9.656085
35.84656,10.449736
35.97884,10.58201
36.111115,10.58201
36.24339,10.714286
36.375664,10.714286
36.772488,10.31746
37.169315,10.31746
37.30159,10.449736
37.30159,14.8148155
37.433865,14.94709
37.433865,16.666666
37.56614,16.798943
37.56614,18.25397
37.698414,18.386244
37.698414,19.31217
37.83069,19.444445
37.83069,20.238096
37.962967,20.37037
37.962967,20.767197
38.09524,20.899471
38.09524,21.16402
38.227516,21.296297
38.227516,21.428572
38.35979,21.560846
38.35979,21.693123
38.492065,21.825397
38.492065,22.486773
38.62434,22.619047
38.62434,23.148148
38.756615,23.280424
38.756615,23.412699
38.888893,23.544973
39.021168,23.544973
39.153442,23.67725
39.285717,23.67725
39.41799,23.544973
39.550266,23.544973
39.68254,23.412699
39.68254,23.148148
39.814816,23.015873
39.814816,22.751324
39.947094,22.619047
39.947094,22.354498
40.07937,22.222223
40.07937,21.825397
40.211643,21.693123
40.211643,21.296297
40.343918,21.16402
40.343918,20.899471
40.476192,20.767197
40.476192,20.502645
40.608467,20.37037
40.608467,20.10582
40.74074,19.973545
40.74074,19.708996
40.873016,19.57672
40.873016,19.31217
41.005295,19.179895
41.005295,18.915344
41.13757,18.78307
41.13757,18.518518
41.269844,18.386244
41.269844,18.121693
41.40212,17.989418
41.40212,17.592592
41.534393,17.460318
41.534393,17.195768
41.666668,17.063492
41.666668,16.534391
41.798943,16.402117
41.798943,15.740741
41.93122,15.608466
41.93122,14.68254
42.063496,14.550264
42.063496,12.301587
41.93122,12.1693125
41.93122,11.375662
41.798943,11.243386
41.798943,10.714286
41.666668,10.58201
41.666668,10.31746
41.534393,10.185185
41.534393,10.05291
41.40212,9.920635
41.40212,9.78836
41.269844,9.656085
41.269844,9.523809
41.13757,9.391535
41.13757,9.259259
40.74074,8.862434
40.74074,8.730159
40.608467,8.597884
40.476192,8.597884
39.41799,7.539683
39.41799,7.4074078
39.021168,7.010582
39.021168,6.4814816
39.285717,6.2169313
39.814816,6.2169313
39.947094,6.0846562
42.857143,6.0846562
42.98942,6.2169313
43.915348,6.2169313
44.047623,6.3492064
44.312172,6.3492064
44.57672,6.6137567
44.708996,6.6137567
45.105824,7.010582
45.2381,7.010582
45.634922,7.4074078
45.634922,7.539683
45.767197,7.671958
45.634922,7.804233
45.634922,8.201058
45.502647,8.333333
45.502647,8.597884
45.370373,8.730159
45.370373,9.259259
45.2381,9.391535
45.2381,9.920635
45.502647,10.185185
45.634922,10.05291
45.767197,10.05291
46.03175,9.78836
46.164024,9.78836
46.164024,9.920635
46.2963,10.05291
46.2963,10.449736
46.164024,10.58201
46.164024,10.846561
46.03175,10.978836
46.03175,11.375662
45.899475,11.5079365
45.899475,11.904762
45.767197,12.037037
45.767197,12.566137
45.634922,12.698413
45.634922,13.095239
45.502647,13.227513
45.502647,13.888889
45.370373,14.021164
45.370373,14.68254
45.2381,14.8148155
45.2381,15.476191
45.105824,15.608466
45.105824,16.137566
44.97355,16.269842
44.97355,17.063492
44.84127,17.195768
44.84127,19.047619
44.97355,19.179895
44.97355,19.444445
45.105824,19.57672
45.105824,19.708996
45.2381,19.84127
45.2381,19.973545
45.370373,20.10582
45.370373,20.37037
45.502647,20.502645
45.502647,21.560846
45.370373,21.693123
45.370373,22.486773
45.2381,22.619047
45.2381,23.148148
45.105824,23.280424
45.105824,23.9418
44.97355,24.074074
44.97355,25.0
44.84127,25.132275
44.84127,26.322752
44.708996,26.455027
44.708996,27.513227
44.84127,27.645504
44.84127,29.100529
44.97355,29.232805
44.97355,29.629631
45.502647,30.158731
45.634922,30.158731
45.767197,30.291006
47.08995,30.291006
47.222225,30.158731
49.206352,30.158731
49.338627,30.026455
50.79365,30.026455
50.92593,29.89418
51.719578,29.89418
51.851856,29.761906
52.380955,29.761906
52.51323,29.629631
53.04233,29.629631
53.174606,29.497355
53.703705,29.497355
53.835983,29.36508
54.497356,29.36508
54.62963,29.232805
55.158733,29.232805
55.291008,29.100529
56.216934,29.100529
56.34921,28.968254
57.40741,28.968254
57.539684,28.83598
58.597885,28.83598
58.73016,28.703705
59.92064,28.703705
60.052914,28.571428
61.640213,28.571428
61.772488,28.439154
66.53439,28.439154
66.66667,28.571428
67.46032,28.571428
67.5926,28.703705
68.1217,28.703705
68.25397,28.83598
68.650795,28.83598
68.78307,28.968254
69.17989,28.968254
69.31217,29.100529
69.57672,29.100529
69.709,29.232805
69.97355,29.232805
70.10582,29.36508
70.37038,29.36508
70.50265,29.497355
70.634926,29.497355
70.7672,29.629631
71.031746,29.629631
71.164024,29.761906
71.2963,29.761906
71.42857,29.89418
71.56085,29.89418
71.69312,30.026455
71.8254,30.026455
71.95767,30.158731
72.22222,30.158731
72.75133,30.687832
72.8836,30.687832
73.14815,30.952381
73.67725,30.952381
74.33863,30.291006
74.33863,30.158731
74.4709,30.026455
74.4709,29.89418
74.86773,29.497355
75.0,29.497355
75.39683,29.100529
75.529106,29.100529
75.66138,28.968254
75.793655,28.968254
76.058205,28.703705
76.190475,28.703705
76.322754,28.571428
76.45503,28.571428
76.5873,28.439154
76.71958,28.439154
76.85185,28.306879
76.98413,28.306879
77.64551,27.645504
77.64551,24.603174
77.77778,24.4709
77.77778,24.338625
78.04233,24.074074
78.17461,24.20635
78.439156,24.20635
78.571434,24.338625
78.703705,24.338625
78.83598,24.20635
79.23281,24.20635
79.49736,24.4709
79.49736,24.603174
79.62963,24.73545
79.62963,25.5291
79.76191,25.661377
79.76191,25.793652
79.89418,25.925926
79.89418,26.0582
80.29101,26.455027
80.42329,26.455027
80.55556,26.322752
80.687836,26.322752
81.084656,25.925926
81.084656,23.809525
81.216934,23.67725
81.216934,23.544973
81.34921,23.544973
81.48148,23.412699
81.61376,23.544973
81.74603,23.544973
81.87831,23.67725
82.01058,23.67725
82.14286,23.544973
82.53969,23.544973
82.80424,23.809525
82.80424,25.0
82.93651,25.132275
83.06879,25.132275
83.20106,25.0
83.20106,24.867725
83.333336,24.73545
83.333336,24.20635
83.465614,24.074074
83.465614,23.148148
83.333336,23.015873
83.333336,20.502645
83.20106,20.37037
83.20106,19.179895
83.06879,19.047619
83.06879,18.25397
82.93651,18.121693
82.93651,17.592592
82.80424,17.460318
82.80424,17.328043
82.67196,17.195768
82.67196,16.931217
82.53969,16.798943
82.53969,16.666666
82.40741,16.534391
82.40741,16.269842
82.27514,16.137566
82.27514,16.005291
82.14286,15.873016
82.14286,15.740741
82.01058,15.608466
82.01058,15.476191
81.87831,15.343916
81.87831,15.079366
81.61376,14.8148155
81.61376,14.68254
81.48148,14.550264
81.48148,14.41799
81.34921,14.285714
81.34921,14.1534395
81.216934,14.021164
81.216934,13.888889
81.084656,13.756614
81.084656,13.624339
80.952385,13.4920635
80.952385,13.359789
80.82011,13.227513
80.82011,13.095239
80.687836,12.962963
80.687836,12.830688
80.42329,12.566137
80.42329,12.433863
80.29101,12.301587
80.29101,12.1693125
80.15873,12.037037
80.15873,11.904762
80.02646,11.772487
80.02646,11.640212
79.76191,11.375662
79.76191,11.243386
78.439156,9.920635
78.306885,9.920635
77.38096,8.994709
77.24868,8.994709
76.322754,8.068783
76.322754,7.671958
76.5873,7.4074078
76.98413,7.4074078
77.1164,7.275132
81.084656,7.275132
81.216934,7.4074078
81.48148,7.4074078
82.14286,8.068783
82.14286,8.201058
82.40741,8.465609
82.40741,8.597884
82.67196,8.862434
82.67196,8.994709
82.80424,9.126985
82.80424,9.259259
82.93651,9.391535
82.93651,10.58201
83.06879,10.714286
83.465614,10.714286
83.73016,10.449736
84.12698,10.449736
84.39154,10.714286
84.39154,10.846561
84.52381,10.978836
84.52381,11.5079365
84.39154,11.640212
84.39154,12.1693125
84.25926,12.301587
84.25926,12.433863
84.39154,12.566137
84.39154,12.830688
84.52381,12.962963
84.52381,13.095239
84.65609,13.227513
84.65609,13.359789
84.78836,13.4920635
84.78836,13.624339
85.05291,13.888889
85.05291,14.021164
85.18519,14.1534395
85.18519,14.285714
85.31747,14.41799
85.31747,14.550264
85.582016,14.8148155
85.582016,14.94709
85.71429,15.079366
85.71429,15.21164
85.846565,15.343916
85.846565,15.476191
85.978836,15.608466
85.978836,15.740741
86.111115,15.873016
86.111115,16.005291
86.24339,16.137566
86.24339,16.269842
86.37566,16.402117
86.37566,16.534391
86.50794,16.666666
86.50794,16.931217
86.64021,17.063492
86.64021,17.328043
86.77249,17.460318
86.77249,17.592592
86.90476,17.724869
86.90476,17.989418
87.03704,18.121693
87.03704,18.386244
87.16931,18.518518
87.16931,18.78307
87.30159,18.915344
87.30159,19.047619
87.43387,19.179895
87.43387,19.444445
87.56614,19.57672
87.56614,19.84127
87.69842,19.973545
87.69842,20.238096
87.83069,20.37037
87.83069,20.63492
87.96297,20.767197
87.96297,21.031746
88.09524,21.16402
88.09524,21.428572
88.227516,21.560846
88.227516,21.825397
88.359795,21.957672
88.359795,22.222223
88.492065,22.354498
88.492065,22.486773
88.624344,22.619047
88.624344,22.883598
88.756615,23.015873
88.756615,23.280424
88.88889,23.412699
88.88889,23.544973
89.021164,23.67725
89.021164,23.809525
89.15344,23.9418
89.15344,24.074074
89.28572,24.20635
89.28572,24.338625
89.41799,24.4709
89.41799,24.603174
89.55027,24.73545
89.68254,24.73545
89.81482,24.867725
89.94709,24.867725
90.07937,24.73545
90.21165,24.73545
90.4762,24.4709
90.4762,24.338625
90.60847,24.20635
90.60847,24.074074
90.740746,23.9418
90.740746,23.809525
90.87302,23.67725
90.87302,23.544973
91.005295,23.412699
91.005295,23.280424
91.137566,23.148148
91.137566,23.015873
91.269844,22.883598
91.269844,22.751324
91.40212,22.619047
91.40212,22.486773
91.53439,22.354498
91.53439,21.957672
91.66667,21.825397
91.66667,21.428572
91.79894,21.296297
91.79894,20.767197
91.93122,20.63492
91.93122,19.84127
92.06349,19.708996
92.06349,17.063492
92.19577,16.931217
92.19577,16.402117
92.06349,16.269842
92.06349,14.021164
91.93122,13.888889
91.93122,12.830688
91.79894,12.698413
91.79894,12.037037
91.66667,11.904762
91.66667,11.111112
91.53439,10.978836
91.53439,10.185185
91.40212,10.05291
91.40212,9.523809
91.269844,9.391535
91.269844,9.259259
91.137566,9.126985
91.137566,8.994709
91.005295,8.862434
91.005295,8.730159
90.740746,8.465609
90.740746,8.333333
90.4762,8.068783
90.4762,7.936508
89.94709,7.4074078
89.94709,7.275132
89.28572,6.6137567
89.15344,6.6137567
88.624344,6.0846562
88.624344,5.820106
88.756615,5.820106
88.88889,5.687831
93.650795,5.687831
94.04762,6.0846562
94.04762,6.2169313
94.31217,6.4814816
94.31217,6.6137567
94.57672,6.878307
94.57672,7.275132
94.709,7.4074078
94.709,7.804233
94.57672,7.936508
94.57672,8.597884
94.44445,8.730159
94.44445,9.391535
94.57672,9.523809
94.57672,9.656085
94.84127,9.920635
95.10582,9.920635
95.2381,9.78836
95.2381,9.656085
95.37038,9.523809
95.37038,9.391535
95.50265,9.259259
95.7672,9.259259
96.031746,9.523809
96.031746,10.31746
95.899475,10.449736
95.899475,10.714286
95.7672,10.846561
95.7672,11.375662
95.634926,11.5079365
95.634926,12.433863
95.7672,12.566137
95.7672,15.21164
95.899475,15.343916
95.899475,16.931217
96.031746,17.063492
96.031746,17.724869
96.164024,17.857143
96.164024,18.78307
96.2963,18.915344
96.2963,21.16402
96.42857,21.296297
96.42857,23.544973
96.56085,23.67725
96.56085,24.4709
96.69312,24.603174
96.69312,25.0
96.8254,25.132275
96.8254,25.264551
96.95767,25.396826
97.08995,25.264551
97.08995,24.20635
97.22223,24.074074
97.22223,23.67725
97.3545,23.544973
97.3545,23.412699
97.48678,23.280424
97.48678,23.148148
97.61905,23.015873
97.61905,22.883598
97.8836,22.619047
98.01588,22.619047
98.148155,22.486773
98.67725,22.486773
98.809525,22.619047
98.9418,22.619047
99.4709,23.148148
99.4709,23.280424
99.60318,23.412699
99.60318,23.544973
99.73545,23.67725
99.73545,23.9418
99.86773,24.074074
99.86773,24.4709
100.0,24.603174
100.0,26.455027
99.86773,26.587301
99.86773,28.83598
100.0,28.968254
100.0,30.820107
99.86773,30.952381
99.86773,31.481482
99.73545,31.613756
99.73545,32.010582
99.60318,32.142857
99.60318,32.40741
99.4709,32.539684
99.4709,32.804234
99.33863,32.93651
99.33863,33.201057
99.20635,33.333332
99.20635,33.46561
99.07407,33.597885
99.07407,33.73016
98.9418,33.862434
98.9418,34.126984
98.809525,34.25926
98.809525,34.391537
98.67725,34.52381
98.67725,34.656086
98.544975,34.78836
98.544975,35.05291
98.412704,35.185184
98.412704,35.449738
98.280426,35.582012
98.280426,35.978836
98.148155,36.11111
98.148155,36.50794
98.01588,36.640213
98.01588,37.037037
97.8836,37.16931
97.8836,37.83069
97.75133,37.962963
97.75133,38.62434
97.61905,38.756615
97.61905,39.285713
97.48678,39.41799
97.48678,40.079365
97.3545,40.21164
97.3545,41.00529
97.22223,41.137566
97.22223,42.06349
97.08995,42.195766
97.08995,43.121693
96.95767,43.253967
96.95767,45.634922
97.08995,45.767197
97.08995,48.015873
97.22223,48.148148
97.22223,52.910053
97.08995,53.042328
97.08995,54.761906
96.95767,54.89418
96.95767,55.68783
96.8254,55.820107
96.8254,56.21693
96.69312,56.34921
96.69312,56.746033
96.56085,56.878307
96.56085,57.142857
96.42857,57.275135
96.42857,57.40741
96.2963,57.539684
96.2963,57.804234
96.164024,57.93651
96.164024,58.068783
96.031746,58.201057
96.031746,58.333336
95.7672,58.597885
95.7672,58.73016
95.634926,58.862434
95.634926,58.99471
95.10582,59.52381
95.10582,59.656086
94.31217,60.449738
94.1799,60.449738
93.78307,60.84656
93.650795,60.84656
93.386246,61.11111
93.253975,61.11111
93.1217,61.243385
92.98942,61.243385
92.85715,61.375664
92.5926,61.375664
92.46032,61.50794
92.19577,61.50794
92.06349,61.640213
91.66667,61.640213
91.53439,61.772488
90.87302,61.772488
90.740746,61.904762
89.68254,61.904762
89.55027,62.037037
87.56614,62.037037
87.43387,62.16931
84.25926,62.16931
84.12698,62.037037
82.93651,62.037037
82.80424,61.904762
82.01058,61.904762
81.87831,61.772488
81.34921,61.772488
81.216934,61.640213
80.82011,61.640213
80.687836,61.50794
80.42329,61.50794
80.29101,61.375664
79.89418,61.375664
79.76191,61.243385
79.49736,61.243385
79.36508,61.11111
79.10053,61.11111
78.968254,60.978836
78.703705,60.978836
78.571434,60.84656
78.306885,60.84656
78.17461,60.714287
77.91006,60.714287
77.77778,60.582012
77.51323,60.582012
77.38096,60.449738
76.85185,60.449738
76.71958,60.317463
75.92593,60.317463
75.793655,60.185184
74.60318,60.185184
74.4709,60.05291
73.412704,60.05291
73.280426,59.920635
71.8254,59.920635
71.69312,59.78836
70.10582,59.78836
69.97355,59.656086
67.85715,59.656086
67.72487,59.52381
65.60847,59.52381
65.4762,59.391537
62.83069,59.391537
62.698418,59.259262
54.761906,59.259262
54.62963,59.391537
52.910057,59.391537
52.77778,59.52381
51.45503,59.52381
51.322754,59.656086
49.86773,59.656086
49.73545,59.78836
48.544975,59.78836
48.4127,59.920635
47.3545,59.920635
47.222225,60.05291
46.2963,60.05291
46.164024,60.185184
45.105824,60.185184
44.97355,60.317463
43.915348,60.317463
43.78307,60.449738
42.857143,60.449738
42.72487,60.582012
41.93122,60.582012
41.798943,60.714287
40.608467,60.714287
40.476192,60.84656
39.021168,60.84656
38.888893,60.978836
37.03704,60.978836
36.904766,60.84656
34.259262,60.84656
34.126987,60.714287
29.62963,60.714287
29.497355,60.84656
28.439154,60.84656
28.306879,60.978836
27.513227,60.978836
27.380953,61.11111
26.851852,61.11111
26.719578,61.243385
26.0582,61.243385
25.925926,61.375664
25.5291,61.375664
25.396826,61.50794
25.0,61.50794
24.867725,61.640213
24.603174,61.640213
24.4709,61.772488
24.20635,61.772488
24.074074,61.904762
23.809525,61.904762
23.677248,62.037037
23.412699,62.037037
23.280424,62.16931
23.148148,62.16931
23.015873,62.30159
22.883598,62.30159
22.751324,62.433865
22.619047,62.433865
22.486773,62.56614
22.354498,62.56614
22.222223,62.698414
22.089947,62.698414
21.957672,62.83069
21.825397,62.83069
21.693121,62.962963
21.560846,62.962963
21.428572,63.095238
21.296297,63.095238
21.16402,63.227512
21.031746,63.227512
20.899471,63.35979
20.63492,63.35979
20.502645,63.492065
20.10582,63.492065
19.973545,63.62434
19.84127,63.62434
19.708994,63.756615
19.57672,63.756615
19.444445,63.88889
19.31217,63.88889
19.047619,64.15344
19.047619,64.55026
19.179893,64.68254
19.179893,66.269844
19.047619,66.402115
19.047619,66.79894
18.915344,66.93122
18.915344,67.06349
18.78307,67.19577
18.78307,67.32804
18.650793,67.46032
18.650793,67.59259
18.518518,67.72487
18.518518,67.85715
17.857143,68.51852
17.724869,68.51852
17.592592,68.650795
16.931217,68.650795
16.798943,68.51852
16.666666,68.51852
16.402117,68.25397
16.269842,68.25397
15.608465,67.59259
15.608465,67.46032
15.211639,67.06349
15.211639,66.93122
14.94709,66.666664
14.94709,66.53439
14.682539,66.269844
14.682539,66.137566
14.550264,66.005295
14.41799,66.005295
14.285714,65.87302
14.021164,65.87302
13.888889,66.005295
13.227513,66.005295
13.095238,66.137566
12.8306875,66.137566
12.698413,66.269844
12.566137,66.269844
12.301587,66.53439
12.1693125,66.53439
12.037037,66.666664
11.904762,66.666664
10.05291,68.51852
10.05291,68.650795
9.920635,68.78307
9.78836,68.78307
9.656085,68.915344
9.656085,69.04762
9.391535,69.31217
9.259259,69.31217
8.862433,69.70899
8.597883,69.70899
8.597883,69.44444
8.730159,69.31217
8.730159,69.17989
8.862433,69.04762
8.862433,68.915344
8.994709,68.78307
8.994709,68.650795
9.126984,68.51852
9.126984,68.386246
9.259259,68.25397
9.259259,68.1217
9.523809,67.85715
9.523809,67.72487
9.656085,67.59259
9.656085,67.46032
9.523809,67.32804
8.201058,68.650795
8.068783,68.650795
7.275132,69.44444
7.1428576,69.44444
6.8783064,69.70899
6.613756,69.70899
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
0.058390,0.000000
0.233420,0.000000
0.524680,0.000000
