X(mm),Y(mm)
17.458431,20.783848
17.339666,20.665083
16.508312,20.665083
16.389547,20.546318
15.439431,20.546318
15.320666,20.427553
14.964372,20.427553
14.845607,20.308788
14.251782,20.308788
14.133018,20.190023
13.895488,20.190023
13.776723,20.071259
13.420428,20.071259
13.301663,19.952494
13.064134,19.952494
12.945369,19.833729
12.707839,19.833729
12.589074,19.714964
12.351544,19.714964
12.2327795,19.596199
11.99525,19.596199
11.876485,19.477434
11.638955,19.477434
11.52019,19.35867
11.401425,19.35867
11.2826605,19.239904
11.045131,19.239904
10.807601,19.002377
10.570071,19.002377
10.451306,18.883612
10.332541,18.883612
10.213778,18.764847
10.095013,18.764847
9.976248,18.646082
9.857483,18.646082
9.738718,18.527317
9.619953,18.527317
9.501188,18.408552
9.382423,18.408552
9.263659,18.289787
9.144894,18.289787
9.026129,18.171022
8.907364,18.171022
8.788599,18.052258
8.669834,18.052258
8.551069,17.933493
8.432304,17.933493
8.3135395,17.814728
8.194775,17.814728
8.07601,17.695963
7.957245,17.695963
7.719715,17.458433
7.6009502,17.458433
7.4821854,17.339668
7.3634205,17.339668
7.2446556,17.220903
7.1258907,17.220903
7.007126,17.102139
6.888361,17.102139
6.769596,16.983374
6.650831,16.983374
6.4133024,16.745844
6.2945375,16.745844
6.1757727,16.627079
6.057008,16.627079
5.938243,16.508314
5.819478,16.508314
5.700713,16.38955
5.5819483,16.38955
5.4631834,16.270784
5.3444185,16.270784
5.2256536,16.15202
5.106889,16.15202
4.988124,16.033255
4.869359,16.033255
4.750594,15.91449
4.6318293,15.91449
4.3942995,15.67696
4.1567698,15.67696
3.9192398,15.43943
3.68171,15.43943
3.5629456,15.320665
3.3254158,15.320665
3.206651,15.2019005
2.6128266,15.2019005
2.4940617,15.083136
2.256532,15.083136
2.137767,14.964371
1.9002373,14.964371
1.7814729,14.845606
1.662708,14.845606
1.5439432,14.726841
1.3064134,14.726841
1.1876485,14.608076
1.0688837,14.608076
0.9501188,14.489311
0.8313539,14.489311
0.59382415,14.251781
0.47505927,14.251781
0.3562944,14.133017
0.23752975,14.133017
0.0,13.895487
0.11876488,13.776722
1.7814729,13.776722
1.9002373,13.657957
2.137767,13.657957
2.256532,13.539192
2.7315915,13.539192
2.8503563,13.420427
2.9691212,13.420427
3.087886,13.301662
3.4441807,13.301662
3.68171,13.064134
3.9192398,13.064134
4.038005,12.945369
4.1567698,12.945369
4.2755346,12.826604
4.5130644,12.826604
4.6318293,12.707839
4.750594,12.707839
4.869359,12.589074
4.988124,12.589074
5.106889,12.470309
5.2256536,12.470309
5.3444185,12.351544
5.4631834,12.351544
5.5819483,12.2327795
5.700713,12.2327795
5.819478,12.114015
5.938243,12.114015
6.057008,11.99525
6.2945375,11.99525
6.5320673,11.75772
6.769596,11.75772
7.007126,11.52019
7.2446556,11.52019
7.4821854,11.2826605
7.6009502,11.2826605
7.719715,11.163896
7.83848,11.163896
7.957245,11.045131
8.07601,11.045131
8.194775,10.926366
8.3135395,10.926366
8.551069,10.688836
8.669834,10.688836
8.788599,10.570071
8.907364,10.570071
9.026129,10.451306
9.144894,10.451306
9.263659,10.332541
9.382423,10.332541
9.501188,10.213777
9.738718,10.213777
9.857483,10.095012
9.976248,10.095012
10.095013,9.976247
10.451306,9.976247
10.570071,9.857482
10.807601,9.857482
10.926366,9.738717
11.401425,9.738717
11.52019,9.619952
11.876485,9.619952
11.99525,9.501188
12.826604,9.501188
12.945369,9.382423
13.657958,9.382423
13.776723,9.263659
17.814726,9.263659
17.93349,9.382423
21.021378,9.382423
21.140142,9.501188
27.078384,9.501188
27.19715,9.619952
30.878859,9.619952
30.997625,9.738717
37.173397,9.738717
37.292164,9.857482
40.023754,9.857482
40.14252,9.976247
44.180523,9.976247
44.29929,10.095012
45.72447,10.095012
45.84323,10.213777
47.387177,10.213777
47.50594,10.332541
48.099766,10.332541
48.21853,10.451306
48.931118,10.451306
49.049885,10.570071
49.643707,10.570071
49.762474,10.688836
50.23753,10.688836
50.356297,10.807601
50.95012,10.807601
51.068886,10.926366
51.543945,10.926366
51.66271,11.045131
52.137768,11.045131
52.256535,11.163896
52.612827,11.163896
52.731594,11.2826605
53.325417,11.2826605
53.444183,11.401425
53.800476,11.401425
53.919243,11.52019
54.394302,11.52019
54.513065,11.638955
54.86936,11.638955
54.988125,11.75772
57.363422,11.75772
57.48219,11.638955
58.55107,11.638955
58.669834,11.52019
60.92637,11.52019
61.04513,11.401425
62.589077,11.401425
62.707844,11.2826605
63.301662,11.2826605
63.301662,11.401425
63.064137,11.638955
62.707844,11.638955
62.47031,11.876485
62.114017,11.876485
61.757725,12.2327795
61.757725,12.351544
61.876484,12.470309
62.589077,12.470309
62.707844,12.589074
64.845604,12.589074
64.96437,12.707839
67.33967,12.707839
67.45843,12.826604
68.883606,12.826604
69.00237,12.945369
69.358665,12.945369
69.47743,13.064134
69.358665,13.1828985
69.00237,13.1828985
68.883606,13.301662
68.64608,13.301662
68.52731,13.420427
67.93349,13.420427
67.81473,13.539192
67.577194,13.539192
67.45843,13.657957
66.98337,13.657957
66.86461,13.776722
66.74584,13.776722
66.627075,13.895487
66.74584,14.014252
67.102135,14.014252
67.2209,14.133017
72.80285,14.133017
72.921616,14.251781
82.89786,14.251781
83.016624,14.370546
88.24228,14.370546
88.361046,14.489311
91.092636,14.489311
91.2114,14.608076
92.992874,14.608076
93.11164,14.726841
94.774345,14.726841
94.89311,14.845606
97.14964,14.845606
97.26841,14.964371
97.86223,14.964371
97.980995,15.083136
98.931114,15.083136
99.04988,15.2019005
99.52494,15.2019005
99.64371,15.320665
100.0,15.320665
100.0,15.43943
99.04988,15.43943
98.931114,15.558195
98.456055,15.558195
98.33729,15.67696
97.505936,15.67696
97.38717,15.795725
96.79335,15.795725
96.67458,15.91449
95.84323,15.91449
95.724464,16.033255
94.89311,16.033255
94.774345,16.15202
94.18052,16.15202
94.06176,16.270784
92.992874,16.270784
92.87411,16.38955
92.042755,16.38955
91.92399,16.508314
90.49881,16.508314
90.38004,16.627079
89.311165,16.627079
89.1924,16.745844
85.98575,16.745844
85.86698,16.864609
73.871735,16.864609
73.75297,16.745844
60.807602,16.745844
60.68884,16.627079
