CycleType,Smoother,nu1,nu2,Residual,Error,Time,WorkUnits,ConvRate
v,Jacobi,3,3,0.012022631544436887,0.9115852610532892,0.004801034927368164,8.0,0.8625638442082302
v,Jacobi,5,5,0.010910189918341279,0.891590897141967,0.0034279823303222656,13.333333333333332,0.7827517064149626
v,Jacobi,7,7,0.010260590370570708,0.8735297599021294,0.00409698486328125,18.666666666666664,0.7361461790767998
v,Gauss-Seidel,3,3,0.009773679248026303,0.858377777654625,0.037622928619384766,8.0,0.7012127347557863
v,Gauss-Seidel,5,5,0.008899591307282332,0.8156533384675715,0.061554908752441406,13.333333333333332,0.6385012849739748
v,Gauss-Seidel,7,7,0.00823857352592535,0.7803630877709398,0.08298492431640625,18.666666666666664,0.5910765563303442
v,Red-Black GS,3,3,0.013776725570913306,0.8591018985481903,0.0028967857360839844,8.0,0.9884113411549612
v,Red-Black GS,5,5,0.012554838514154171,0.8157813463498893,0.0035207271575927734,13.333333333333332,0.9007470396273871
v,Red-Black GS,7,7,0.011623427740706937,0.7802767106076357,0.0042231082916259766,18.666666666666664,0.8339229625264502
w,Jacobi,3,3,0.009448926963506212,0.7679946196347734,0.007187843322753906,12.0,0.6779133782117798
w,Jacobi,5,5,0.008699985452741123,0.7432356584226664,0.007879257202148438,20.0,0.6241805605482811
w,Jacobi,7,7,0.008251152604494133,0.7225051100457646,0.00983119010925293,28.0,0.5919790424729814
w,Gauss-Seidel,3,3,0.007883336171892418,0.7058784317475288,0.05178713798522949,12.0,0.5655900481088734
w,Gauss-Seidel,5,5,0.007216667424226833,0.6644633748655785,0.08115506172180176,20.0,0.5177598908197233
w,Gauss-Seidel,7,7,0.006743086858486543,0.634565100309348,0.11276102066040039,28.0,0.48378284745634487
w,Red-Black GS,3,3,0.011105501806177217,0.705234142171922,0.006324052810668945,12.0,0.7967643601479374
w,Red-Black GS,5,5,0.010174767191871988,0.663831822823514,0.007411956787109375,20.0,0.7299887940927452
w,Red-Black GS,7,7,0.009510405896017466,0.6340281580695393,0.008686065673828125,28.0,0.6823241849614272
